what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1380709398166
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1380709398552
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1380709398552
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1380709398740
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1380709398743
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1380709398827
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1380709398882
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709416577
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709417887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709499443
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1380709501082
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1380709501159
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1380709501166
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1380709501969
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1380709507482
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1380709507724
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1380709507750
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1380709507808
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1380709508724
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1380709508878
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1380709510990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709511120
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709514095
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1380709514103
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1380709514103
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1380709514636
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709521639
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709525658
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709533802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709535467
executed,command,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.navigate.open.type",1380709535479
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709538222
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1380709544316
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1380709544489
